BrightMlsId,CityName,FullStreetAddress,OldMapCoordinates,AgeRequirement,AltOfficeCode,AssessmentYear,BasementAreaFinished,BasementAreaUnfinished,Baths,BathsFull,BathsHalf,BodyOfWater,DomProperty,HOA,HighSchool,ListOfficeCode,ListOfficeAddress,ListingID,NameOfRental,PetsAllowedFlag,PotentialLivestock,TaxYear,TotalTaxes,PostalCode,YearBuilt
1004380051,WASHINGTON,2501 M ST NW #715,0,,,2016,,,3,2,1,,233,TRUE,WILSON SENIOR,MHD1,1521 WESTBRANCH DR STE# 600,DC10125983,,,,2016,4996.8,20037,1997
1004474163,WASHINGTON,4740 CONNECTICUT AVE NW #806,GOOGLE,,,2016,,,2,2,0,,213,FALSE,,WLRG1,2010 CORPORATE RDG N STE,DC10135991,,,,2016,1171.5,20008,1956
1004392907,WASHINGTON,777 7TH ST NW #424,DCA123,,,,,,2,2,0,,94,FALSE,DUNBAR SENIOR,KWR15,6250 OLD DOBBIN LN STE# 140,DC10128095,,FALSE,,,,20001,2005
1004552193,WASHINGTON,1342 LEEGATE RD NW,0,,,,,,4,2,2,,78,FALSE,,LNG147,4400 JENIFER ST NW,DC10137846,,TRUE,,,,20012,1948
1004391499,WASHINGTON,3317 Q ST NW,0,,,2017,,,5,4,1,,94,FALSE,,TTRS2,1206 30TH ST NW,DC10127717,,,,2017,5881.02,20007,1900
1004504193,WASHINGTON,777 7TH ST NW #308,0,,KWCP1,2017,,,1,1,0,,147,FALSE,,KWCP1,519 C ST NE,DC10136899,,,,2017,3758.44,20001,2005
1004404471,WASHINGTON,901 LAWRENCE ST NE,GOOGLE,,ONERE1,2017,,884,2,2,0,,45,FALSE,,ONERE1,1725 EYE ST NW STE 125,DC10128912,,,,2017,5837.46,20017,1880
1004411359,WASHINGTON,218 7TH STREET SE,H6G,,CBRB52,2018,,,6,3,3,,88,FALSE,,CBRB52,605 PENNSYLVANIA AVE SE,DC10129659,,,,2018,36147.32,20003,1981
1004401311,WASHINGTON,1669 COLUMBIA RD NW #413,7B,,,2017,,,2,2,0,,93,FALSE,,TTRS6,400 S WASHINGTON ST,DC10128364,,,,2017,20214.36,20009,1910
1004392415,WASHINGTON,70 DARRINGTON ST SW,0,,,2017,,,2,2,0,,1,FALSE,BALLOU SENIOR,TAYL1,175 ADMIRAL COCHRANE DR 111,DC10127937,,,,2017,10732,20032,1942
1004403991,WASHINGTON,2019 R ST NW,GPS,,,2017,,,7,5,2,,92,FALSE,CALL SCHOOL BOARD,TTRS2,1206 30TH ST NW,DC10128755,,,,2017,28724.98,20009,1916
1004411039,WASHINGTON,4707 RESERVOIR RD NW,0,,TTRS2,2017,970,,5,5,0,,92,FALSE,,TTRS2,1206 30TH ST NW,DC10129585,,,,2017,17431.28,20007,1929
1004409759,WASHINGTON,555 MASSACHUSETTS AVE NW #703,0,,,,,,2,2,0,,92,FALSE,,SAMP1,14526 LEE RD STE 100,DC10129215,,TRUE,,,,20001,2005
1004427763,WASHINGTON,560 N ST SW #N109,XXXXX,,WELC1,,,,1,1,0,,88,FALSE,,WELC1,540 N ST SW # 603-S,DC10131411,,,,2018,1150,20024,1965
1004409925,WASHINGTON,36 Q ST NE #1,0,,,2017,714,,3,2,1,,92,TRUE,,RDWG3,1701 Q ST NW,DC10129265,,,,2017,5026.72,20002,1900
1004398179,WASHINGTON,3752 KANAWHA ST NW,99,,,,,,4,3,1,,247,FALSE,WILSON,STU1,4833 BETHESDA AVE STE# 200,DC10128304,,FALSE,,,,20015,1922
1004409739,WASHINGTON,1046 48TH PL NE,0,,,2017,,,2,2,0,,280,FALSE,,SODR1,7500 GREENWAY CENTER DR STE# 150,DC10129208,,,,2017,2007.44,20019,1905
1004411679,WASHINGTON,601 PENNSYLVANIA AVE NW #906,0,,,,,,1,1,0,,92,FALSE,,WFP1,3201 NEW MEXICO AVE NW STE 220,DC10129753,,FALSE,,,,20004,1991
1004403387,WASHINGTON,1155 23RD ST NW #6B,1006 A3,,,,,,2,2,0,,93,TRUE,,KWR8,11700 PLAZA AMERICA DR STE# 150,DC10128560,,FALSE,,,,20037,2000
1000183154,WASHINGTON,1618 S ST NW #6,0,,KWCP2,2017,,,1,1,0,,15,FALSE,,KWCP1,519 C ST NE,DC10161787,,,,2017,2856.42,20009,1905
1004404047,WASHINGTON,1307 35TH ST NW,UNKNOWN,,,2017,780,,3,3,0,,422,FALSE,WILSON SENIOR,KWCP1,519 C ST NE,DC10128773,,,,2017,15343.94,20007,1794
1004403715,WASHINGTON,1234 31ST ST NW,TAX RECORD,,,,,,2,2,0,,133,FALSE,,LNG42,1680 WISCONSIN AVE NW,DC10128664,,TRUE,,,,20007,1900
1004403889,WASHINGTON,1615 Q ST NW #404,ABC123,,,2016,,,1,1,0,,145,FALSE,,CBRB45,1101 30TH ST NW STE 120,DC10128724,,,,2016,3084.4,20009,1895
1004404773,WASHINGTON,4418 EASTERN AVE NE,HF,,,2017,567,,4,4,0,,191,FALSE,,SOUR1,8855 ANNAPOLIS RD STE# 300,DC10129009,,,,2017,3050.48,20018,1948
1004460977,WASHINGTON,1391 PENNSYLVANIA AVE SE #M10,-,,,2017,,,2,2,0,,82,TRUE,,CBRB52,605 PENNSYLVANIA AVE SE,DC10134593,,,,2017,4618.72,20003,2007
1004417735,WASHINGTON,4000 CATHEDRAL AVE NW #405B,GOOGLE,,,,,,1,1,0,,91,FALSE,,LNG147,4400 JENIFER ST NW,DC10130093,,,,,,20016,1931
1004411813,WASHINGTON,1720 NEW JERSEY AVE NW #202,GPS,,COMPS1,,,,1,1,0,,92,FALSE,,COMPS1,1313 14TH ST NW FL 2ND,DC10129793,,TRUE,,,,20001,2017
1004410861,WASHINGTON,3221 8TH ST SE #3,0,,,2017,,,2,2,0,,305,TRUE,,RMXXV1,3232 GEORGIA AVE NW STE 101,DC10129542,,,,2017,667.84,20032,1955
1004410977,WASHINGTON,2650 39TH ST NW #1,GPS,,,2016,,,2,2,0,,169,FALSE,,LNG14,12500 PARK POTOMAC AVE STE 101S,DC10129564,,,,2016,4642.18,20007,1938
1004411263,WASHINGTON,3009 M ST NW #1,NA,,,,,,2,1,1,,92,FALSE,,LNG42,1680 WISCONSIN AVE NW,DC10129622,,FALSE,,,,20007,1790
1004411259,WASHINGTON,221 S ST NW,12345,,,2016,,,2,1,1,,15,FALSE,,MNS1,1401 MERCANTILE LN STE 200X,DC10129621,,,,2016,4385.58,20001,1914
1004411331,WASHINGTON,2700 WOODLEY RD NW ## VARIES #724,0,,,,,,4,3,1,,92,FALSE,,LNG42,1680 WISCONSIN AVE NW,DC10129641,,TRUE,,,,20008,2013
1004411435,WASHINGTON,3070 30TH ST SE #204,GOOGLE MAP,,,2017,,,1,1,0,,33,FALSE,,WOWR1,80 M ST SE STE#,DC10129688,,,,2017,458.74,20020,2002
1004411375,WASHINGTON,3643 JAMISON ST NE,GOOGLE,,,,,,5,4,1,,92,TRUE,CALL SCHOOL BOARD,THHR1,8218 WISCONSIN AVE STE 310,DC10129666,,,,,,20018,2018
1004420545,WASHINGTON,1020 MONROE ST NW #206,GOOGLE,,,,,,1,1,0,,117,FALSE,,ONERE1,1725 EYE ST NW STE 125,DC10130874,,TRUE,,,,20010,1927
1004411533,WASHINGTON,501 LEBAUM ST SE,0,,,,,,4,3,1,,92,FALSE,,NSRI1,8408 ARLINGTON BLVD STE 300,DC10129712,,FALSE,,,,20032,1950
1004411833,WASHINGTON,1720 NEW JERSEY AVE NW #303,GPS,,COMPS1,,,,2,2,0,,92,FALSE,,COMPS1,1313 14TH ST NW FL 2ND,DC10129800,,TRUE,,,,20001,2017
1004417461,WASHINGTON,3628 RESERVOIR RD NW,ADC,,LNG42,2016,,,6,5,1,,133,TRUE,,LNG42,1680 WISCONSIN AVE NW,DC10130008,,,,2016,11422.56,20007,1986
1004418027,WASHINGTON,1451 BELMONT ST NW #202,ADC,,,,,,1,1,0,,87,FALSE,,PFED4,705 NORTH CAROLINA AVE SE,DC10130189,,TRUE,,,,20009,2006
1004418171,WASHINGTON,1451 PARK RD NW #401,0,,,2017,,,1,1,0,,88,TRUE,,RTR2,12501 PROSPERITY DR STE 160,DC10130231,,,,2017,1634.8,20010,1930
1004418415,WASHINGTON,603 KENYON ST NW,0000/0000,,TTRS4,2017,755,,3,2,1,,50,FALSE,,TTRS4,5454 WISCONSIN AVE,DC10130303,,,,2017,3298.96,20010,1908
1004418791,WASHINGTON,TOTTEN MEWS NE,XXXX,,,,,,4,3,1,,90,TRUE,,CST1,1886 METRO CENTER DR STE# 4TH,DC10130417,,,,,,20017,2017
1004421379,WASHINGTON,1906 KALORAMA PL NW #48,0,,,,,,2,2,0,,89,FALSE,,TBMI1,1827 14TH ST NW,DC10130954,,TRUE,,,,20009,1998
